X ~ binomial(30, 0.7)
Media de X = 21
Desvio-padrao de X = 2.51

Binomial(30, 0.7) semelhante a Normal(21, 2.51)

    X probbinom probnorm
1   0  0.000000 0.000000
2   1  0.000000 0.000000
3   2  0.000000 0.000000
4   3  0.000000 0.000000
5   4  0.000000 0.000000
6   5  0.000000 0.000000
7   6  0.000000 0.000000
8   7  0.000000 0.000000
9   8  0.000001 0.000000
10  9  0.000006 0.000002
11 10  0.000030 0.000011
12 11  0.000126 0.000057
13 12  0.000464 0.000257
14 13  0.001498 0.000989
15 14  0.004246 0.003253
16 15  0.010567 0.009128
17 16  0.023115 0.021855
18 17  0.044418 0.044643
19 18  0.074852 0.077809
20 19  0.110308 0.115709
21 20  0.141562 0.146816
22 21  0.157291 0.158942
23 22  0.150141 0.146816
24 23  0.121854 0.115709
25 24  0.082928 0.077809
26 25  0.046440 0.044643
27 26  0.020838 0.021855
28 27  0.007203 0.009128
29 28  0.001801 0.003253
30 29  0.000290 0.000989
31 30  0.000023 0.000257
